cmor_label$miptable$cf_std_name$title$plan$ukesm_component$requesting_mips
co2totalmass$EmonZ$CO2_total_mass_in_atmos$Globally integrated Carbon Mass in Atmosphere$vn10.8$carbon$C4MIP
co3$Oyr$mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water$Carbonate ion Concentration$available$obgc$AerChemMIP,CMIP,GeoMIP,LUMIP,OMIP,VIACSAB
co3nat$Oyr$mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water_due_to_natural_component$Natural Carbonate ion Concentration$add-to-model$obgc$AerChemMIP,CMIP,GeoMIP,LUMIP,OMIP
co3natos$Omon$surface_mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water_due_to_natural_component$Surface Natural Carbonate ion Concentration$add-to-model$obgc$AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,OMIP
co3os$Omon$surface_mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water$Surface Carbonate ion Concentration$add-to-model$obgc$AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,OMIP
co3satarag$Oyr$mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_at_saturation$Carbonate ion Concentration for sea water in equilibrium with pure Aragonite$available$obgc$AerChemMIP,CMIP,GeoMIP,LUMIP,OMIP,VIACSAB
co3sataragos$Omon$surface_mole_concentration_of_carbonate_expressed_as_carbon_for_sea_water_in_equilibrium_with_pure_aragonite$Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in sea water$available$obgc$AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,OMIP
co3satcalc$Oyr$mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_at_saturation$Carbonate ion Concentration for sea water in equilibrium with pure Calcite$available$obgc$AerChemMIP,CMIP,GeoMIP,LUMIP,OMIP,VIACSAB
co3satcalcos$Omon$surface_mole_concentration_of_carbonate_expressed_as_carbon_for_sea_water_in_equilibrium_with_pure_calcite$Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in sea water$available$obgc$AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,OMIP
